,count,mean,std,min,25%,50%,75%,max
a,200.0,0.4956011581249179,0.30751141439596363,0.009330187239438015,0.21460125577514827,0.4657895140023135,0.759152017076384,0.9995651307772001
b,200.0,0.46826815785654896,0.2869127163970941,0.0010740627641683265,0.21039751954918684,0.4816423300260986,0.7177776264035443,0.9938352753854139
c,200.0,0.45156153895805895,0.2809400615864535,0.0014817341638969639,0.1912854911152986,0.4230633450367423,0.7069507768866778,0.9996342985209609
d,200.0,0.4686824031973226,0.28188104308479434,0.00018076334885197554,0.2542792334268973,0.4628834348513594,0.6695031711178554,0.9998696205812132
e,200.0,0.4745614830085134,0.2759725551007528,0.004698537794661672,0.22554220130313216,0.4690737427361416,0.7137349612171647,0.9836290601576458
f,200.0,0.4807406579303978,0.29169913966361827,0.005805723626944537,0.22020715225361903,0.48269691388176245,0.7175964584218079,0.9991864078486355
g,200.0,0.5523282785784192,0.2840778137583809,0.009088122200367033,0.2995519294192681,0.5903331639353327,0.7973969221881707,0.9975093871651034
h,200.0,0.5037888849031237,0.2820142687413469,0.008165488582935643,0.2619011197807889,0.5155957579307848,0.7267659395646346,0.9996322312859207
i,200.0,0.49241000590743267,0.2748258137177978,0.01676151170066964,0.2506966397858229,0.49348153115071497,0.7274562296356653,0.9975380476307676
j,200.0,0.519414386095267,0.29187263057231544,0.0013791973029627647,0.25771732242700135,0.5422259398093354,0.7495499127557275,0.9988805677182904
k,200.0,0.49102416677146904,0.2797853774469099,0.003038024277781881,0.2588012709280771,0.5105941341335523,0.717484650600966,0.998973060722511
l,200.0,0.47462486147422056,0.2920675004288744,0.010048749609772756,0.22800714114652168,0.4572542464508331,0.7326989681599698,0.9987241258235103
m,200.0,0.5010059665661827,0.2848848902504172,0.0005895873637987714,0.2557514860149567,0.510938678663439,0.7115467482501796,0.9994575606454543
n,200.0,0.49133293154320257,0.277590599387985,0.008642125438401593,0.2600302791499912,0.5065115748000371,0.7124804951583805,0.9913550516046504
o,200.0,0.5195599462002712,0.3010614275161006,0.003496315582047327,0.2724254836910781,0.5096634285838095,0.7996685320587418,0.9978365607811003
p,200.0,0.5176513887292904,0.28857666561204987,0.0002483195275349015,0.27357606942044055,0.4917330738268984,0.7627963281355903,0.9998921017670637
q,200.0,0.5335906223705877,0.29578500311052436,0.003076132667562681,0.2991654705685,0.5743300294701853,0.762471255110982,0.9978557369337426
r,200.0,0.518212136393392,0.3017701820156697,0.0026015584982563844,0.23133623184410693,0.5476935915050458,0.7778834435985348,0.9960304579177303
s,200.0,0.5004076406319763,0.28713150561431633,0.001050265592060895,0.2393072288461913,0.5106222909279259,0.745498257574542,0.9881340041780707
t,200.0,0.5060176558994195,0.3095631150128075,0.003409442864444223,0.24649310094832894,0.47437497749466684,0.8194880488869423,0.9937102127089441
u,200.0,0.47861246413445374,0.2859797693292048,0.0017744293088940433,0.2380358045640562,0.48827149562411193,0.7077273515214066,0.9991835033862604
v,200.0,0.5034220343496095,0.2877224804129091,0.0070836143049374245,0.2561214906969045,0.5283806318875958,0.7377922771550685,0.9986680364257302
w,200.0,0.5039888134126338,0.2882295287773843,0.003415191514995919,0.2686879880908588,0.4906764807107849,0.7685933948759378,0.9973981480701052
x,200.0,0.5035125336925195,0.29688083588728137,0.004071190538483704,0.22686387128727897,0.5153540427617318,0.7399073118623267,0.9965030513895372
y,200.0,0.5023798703502973,0.28244505975901907,0.017661480031228027,0.266922798190162,0.5312206498995382,0.7538721218339762,0.9966679550724599
